protocol_type,service,flag,logged_in,is_host_login,is_guest_login,class
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'smtp',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'smtp',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'ftp_data',b'SF',b'0',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'auth',b'SF',b'0',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'IRC',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'icmp',b'ecr_i',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'ftp_data',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'smtp',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'smtp',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'smtp',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'ftp_data',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'smtp',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'smtp',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'smtp',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'smtp',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'smtp',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'icmp',b'eco_i',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'smtp',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'auth',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'smtp',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'auth',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'smtp',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'smtp',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'ftp_data',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'ftp_data',b'SF',b'0',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'S3',b'1',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'smtp',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'icmp',b'eco_i',b'SF',b'0',b'0',b'0',b'1'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'smtp',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'icmp',b'eco_i',b'SF',b'0',b'0',b'0',b'1'
b'tcp',b'smtp',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'smtp',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'smtp',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'smtp',b'SF',b'1',b'0',b'0',b'0'
b'icmp',b'eco_i',b'SF',b'0',b'0',b'0',b'1'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'icmp',b'eco_i',b'SF',b'0',b'0',b'0',b'1'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'icmp',b'eco_i',b'SF',b'0',b'0',b'0',b'1'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'icmp',b'eco_i',b'SF',b'0',b'0',b'0',b'1'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'icmp',b'eco_i',b'SF',b'0',b'0',b'0',b'1'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'icmp',b'eco_i',b'SF',b'0',b'0',b'0',b'1'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'icmp',b'eco_i',b'SF',b'0',b'0',b'0',b'1'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'icmp',b'eco_i',b'SF',b'0',b'0',b'0',b'1'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'smtp',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'smtp',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'icmp',b'eco_i',b'SF',b'0',b'0',b'0',b'1'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'icmp',b'eco_i',b'SF',b'0',b'0',b'0',b'1'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'tcp',b'http',b'SF',b'1',b'0',b'0',b'0'
b'udp',b'private',b'SF',b'0',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'udp',b'domain_u',b'SF',b'0',b'0',b'0',b'0'
b'tcp',b'smtp',b'SF',b'1',b'0',b'0',b'0'
